index,bpm,probability,time,downbeat
156,149.987885,0.964399636,31.2574603,false
157,149.966309,0.964066625,31.4573923,false
158,149.957474,0.964532077,31.6573469,false
159,149.949905,0.964956224,31.857483,false
160,149.956131,0.964745104,32.0576644,true
161,149.96759,0.964697182,32.2578458,false
162,149.979309,0.964508951,32.4578685,false
163,149.979309,0.9645226,32.6577551,false
164,149.967194,0.963677585,32.8578005,false
165,149.969116,0.963363171,33.0578912,false
166,149.973709,0.963834584,33.2579819,false
167,149.97908,0.964026451,33.4580726,false
168,149.985565,0.963816941,33.658254,true
169,149.999954,0.96424073,33.8584127,false
170,150.013916,0.963948667,34.05839,false
171,150.013931,0.964047432,34.2582993,false
172,150.007751,0.963698149,34.4581179,false
173,149.995285,0.962560177,34.6579592,false
174,149.982269,0.963045239,34.8580726,false
175,149.989868,0.962790489,35.0582086,false
176,150.001236,0.963211238,35.2582993,true
177,150.009445,0.963456571,35.4582993,false
178,150.012344,0.963254452,35.6582766,false
179,150.012344,0.963259161,35.8580726,false
180,149.995285,0.962625146,36.0578231,false
181,149.97522,0.962164342,36.2577324,false
182,149.965759,0.962673187,36.4577778,false
183,149.966766,0.962949336,36.6578685,false
184,149.972244,0.963014722,36.8580272,true
185,149.983246,0.963083327,37.0581633,false
186,149.993713,0.963214993,37.2581633,false
187,149.993698,0.963282585,37.4582993,false
188,150.003494,0.962800562,37.6583673,false
189,150.010376,0.963258743,37.8584807,false
190,150.021637,0.963678002,38.0585714,false
191,150.03212,0.963606775,38.2586168,false
192,150.040573,0.963049769,38.4586395,true
193,150.04718,0.962128639,38.6585714,false
194,150.04718,0.962008178,38.8585261,false
195,150.04718,0.961984396,39.0584127,false
196,150.042007,0.96209842,39.258322,false
197,150.040527,0.961889863,39.4582313,false
198,150.038177,0.962398052,39.6581179,false
199,150.033768,0.962524712,39.8580045,false
200,150.029755,0.962751389,40.0578912,true
201,150.024048,0.962371707,40.2579819,false
202,150.035339,0.962308228,40.4579138,false
203,150.035339,0.962465703,40.6578005,false
204,150.028961,0.962699115,40.8576871,false
205,150.024002,0.962335765,41.0575283,false
206,150.015121,0.962845087,41.2574603,false
207,150.011871,0.962999165,41.4573923,false
208,150.007843,0.963453233,41.6572789,true
209,149.999878,0.963200569,41.8573923,false
210,150.009872,0.963566244,42.0573696,false
211,150.009872,0.963905036,42.2571429,false
212,149.991028,0.962954938,42.4568481,false
213,149.966599,0.961933196,42.6567347,false
214,149.954712,0.962469876,42.8567347,false
215,149.950684,0.962877274,43.0568481,false
216,149.956299,0.963206589,43.2568934,true
217,149.95636,0.963401973,43.4569841,false
218,149.959885,0.963302195,43.6570295,false
219,149.959885,0.963389575,43.8570295,false
220,149.954987,0.96314615,44.0569615,false
221,149.944809,0.962690651,44.2569615,false
222,149.940308,0.963194013,44.4571882,false
223,149.953812,0.963383257,44.6574376,false
224,149.969452,0.963788688,44.8576644,true
225,149.985214,0.963500679,45.0578231,false
226,149.996979,0.96342355,45.2578231,false
227,149.996979,0.963617802,45.4577551,false
228,149.989716,0.962833345,45.6576417,false
229,149.980225,0.96241796,45.8576644,false
230,149.981232,0.962957084,46.0578005,false
231,149.991959,0.963466227,46.2579592,false
232,150.005264,0.963782787,46.4580952,true
233,150.017242,0.963185191,46.6582313,false
234,150.031036,0.96331656,46.8581859,false
235,150.031036,0.963736832,47.0581633,false
236,150.031052,0.96367079,47.2581859,false
237,150.035782,0.963066399,47.4581406,false
238,150.037155,0.963620245,47.6581633,false
239,150.043182,0.964114904,47.8581633,false
240,150.048309,0.96412617,48.058254,true
241,150.062698,0.963652372,48.258254,false
242,150.070053,0.964200556,48.4581179,false
243,150.068298,0.964618742,48.6580045,false
244,150.066467,0.964561701,48.8578005,false
245,150.058426,0.96436727,49.0576417,false
246,150.05217,0.964933157,49.2575283,false
247,150.0495,0.96510011,49.457551,false
248,150.057922,0.965295017,49.6576644,true
249,150.07399,0.965641558,49.8576871,false
250,150.085861,0.965841591,50.057551,false
251,150.085861,0.966332614,50.2572336,false
252,150.067261,0.966492653,50.4568707,false
253,150.04483,0.965818226,50.6564853,false
254,150.01825,0.966407359,50.8562358,false
255,150.0009,0.966594994,51.0559864,false
256,149.981674,0.967167079,51.2558503,true
257,149.968597,0.967714906,51.455873,false
258,149.967606,0.967923999,51.6558957,false
259,149.967606,0.96844095,51.8557596,false
260,149.95134,0.96850723,52.0555782,false
261,149.932236,0.968225002,52.2555556,false
262,149.923141,0.968767941,52.4556463,false
263,149.923691,0.96904403,52.6557823,false
264,149.926605,0.969546556,52.8560544,true
265,149.94223,0.969648361,53.0562358,false
266,149.951035,0.970100701,53.2562812,false
267,149.951019,0.970507562,53.4562358,false
268,149.941116,0.970388174,53.6561451,false
269,149.927338,0.969828427,53.8561678,false
270,149.922043,0.970323324,54.0563265,false
271,149.92691,0.970426083,54.256576,false
272,149.940796,0.970680594,54.4567574,true
273,149.950348,0.970744133,54.6568707,false
274,149.955704,0.970869243,54.8569161,false
275,149.955688,0.970993757,55.0570068,false
276,149.957077,0.970915318,55.2570748,false
277,149.958664,0.970381737,55.4570975,false
278,149.955994,0.970908463,55.6572336,false
279,149.96315,0.971256435,55.8573923,false
280,149.972763,0.971581459,56.057551,true
281,149.984833,0.971874535,56.2576417,false
282,149.99144,0.971990883,56.4576417,false
283,149.99144,0.972302079,56.6576417,false
284,149.988907,0.972248554,56.8575737,false
285,149.983307,0.972201467,57.057551,false
286,149.981033,0.97265923,57.2577324,false
287,149.99498,0.972912312,57.4579365,false
288,150.01297,0.973187327,57.6581179,true
289,150.031235,0.973148465,57.8582313,false
290,150.045776,0.973186672,58.0581633,false
291,150.045792,0.973579407,58.2581179,false
292,150.046814,0.973140478,58.4580045,false
293,150.043091,0.973103523,58.6578231,false
294,150.033569,0.973496735,58.8577098,false
295,150.027863,0.97361815,59.0575964,false
296,150.021591,0.973868728,59.257619,true
297,150.027588,0.973523617,59.4577098,false
298,150.039429,0.973913729,59.6576417,false
299,150.039413,0.97413367,59.857551,false
300,150.03598,0.974524558,60.0574376,false
301,150.031662,0.974257469,60.2573016,false
302,150.024231,0.974651217,60.4571429,false
303,150.015259,0.974741161,60.6568934,false
304,149.997589,0.974877357,60.8566213,true
305,149.975388,0.974915087,61.0566893,false
306,149.978806,0.975306809,61.256712,false
307,149.978806,0.975496531,61.4566893,false
308,149.974747,0.975484431,61.6566893,false
309,149.972275,0.975487113,61.8566667,false
310,149.968521,0.975881338,62.0567574,false
311,149.973358,0.976064265,62.2569841,false
312,149.989731,0.976218522,62.4572109,true
313,150.00882,0.976155043,62.6573696,false
314,150.023788,0.976317942,62.8573243,false
315,150.023788,0.976710916,63.0571882,false
316,150.013916,0.976678252,63.2569841,false
317,149.999222,0.97636801,63.4567347,false
318,149.980057,0.976762593,63.6565079,false
319,149.960281,0.976878226,63.8562812,false
320,149.938477,0.977005184,64.0562358,true
321,149.928268,0.97701931,64.2563265,false
322,149.929733,0.977412283,64.4564172,false
323,149.929749,0.977505982,64.6564399,false
324,149.924026,0.977571428,64.8564853,false
325,149.920792,0.97753042,65.056576,false
326,149.920517,0.977925479,65.256712,false
327,149.924454,0.978097141,65.4570068,false
328,149.940735,0.978490531,65.6573243,true
329,149.961975,0.978796959,65.8575283,false
330,149.976547,0.979003966,66.057551,false
331,149.976532,0.979295075,66.2574376,false
332,149.962997,0.978993535,66.4573016,false
